id_venta,numero_linea,fecha_venta,id_cliente,genero_cliente,tipo_cliente,id_producto,nombre_producto,categoria,tipo_prenda,id_tienda,nombre_tienda,ciudad,departamento,empresa,cantidad,precio_unitario,descuento,metodo_pago,canal,temporada,talla
V001723,1,2024-05-26,C02525,Mujer,Turista,P0017,Vestido Casual,Vestidos,Vestido,T003,Koaj Ocean Mall,Santa Marta,Magdalena,KOAJ,1,152000.0,0.4,Tarjeta Débito,Tienda Física,Temporada Regular,Xl
V001756,1,2023-02-25,C00380,Mujer,Local,P0021,Polo,Camisas,Polo,T043,Koaj Victoria,Pereira,Risaralda,KOAJ,1,119000.0,0.05,Tarjeta Crédito,Online,Día Del Padre,Xl
V002511,1,2025-08-22,C01049,Mujer,Turista,P0015,Jean Straight,Jeans,Pantalón,T037,Koaj Fundadores,Manizales,Caldas,KOAJ,1,173000.0,0.0,Efectivo,Online,Temporada Regular,38
V002638,3,2024-02-18,C02260,Mujer,Turista,P0022,Tenis Casuales,Calzado,Calzado,T005,Koaj Viva Sincelejo,Sincelejo,Sucre,KOAJ,2,194000.0,0.0,Efectivo,Tienda Física,Temporada Regular,Xl
V002598,1,2024-08-03,C01810,Mujer,Local,P0010,Short,Shorts,Short,T024,Koaj La Quinta,Bucaramanga,Santander,KOAJ,2,91000.0,0.15,Tarjeta Débito,Tienda Física,Día De La Madre,36
V003103,1,2025-08-03,C00658,Mujer,Local,P0025,Vestido Corto,Vestidos,Vestido,T031,Koaj Campanario,Popayán,Cauca,KOAJ,2,135000.0,0.0,Tarjeta Crédito,Online,Temporada Regular,Xxl
V000716,1,2023-10-05,C01705,Hombre,Local,P0002,Set Deportivo,Deportivo,Conjunto,T022,Koaj Portal Del Prado,Barranquilla,Atlántico,KOAJ,4,161000.0,0.4,Tarjeta Crédito,Online,Black Friday,Xl
V001528,1,2025-10-14,C01187,Mujer,Local,P0006,Cinturón,Accesorios,Accesorio,T012,Koaj Chipichape,Cali,Valle Del Cauca,KOAJ,1,55000.0,0.0,Tarjeta Débito,Tienda Física,Temporada Regular,Xl
V002330,2,2025-01-22,C02560,Hombre,Local,P0006,Cinturón,Accesorios,Accesorio,T023,Koaj Jardín Plaza,Cali,Valle Del Cauca,KOAJ,3,55000.0,0.1,Tarjeta Crédito,Tienda Física,Temporada Regular,L
V000559,2,2023-06-10,C01112,Mujer,Local,P0014,Jogger,Pantalones,Pantalón,T035,Koaj Mayorca,Medellín,Antioquia,KOAJ,1,140000.0,0.0,Tarjeta Débito,Tienda Física,Temporada Regular,40
V002887,1,2025-12-17,C01068,Mujer,Turista,P0009,Camisa Casual,Camisas,Camisa,T031,Koaj Campanario,Popayán,Cauca,KOAJ,4,128000.0,0.15,Tarjeta Crédito,Tienda Física,Temporada Regular,Xl
V002468,1,2024-04-07,C02580,Hombre,Local,P0002,Set Deportivo,Deportivo,Conjunto,T040,Koaj Andino,Bogotá,Bogotá D.C.,KOAJ,2,161000.0,0.0,Tarjeta Débito,Tienda Física,Temporada De Diciembre,L
V002590,1,2024-12-30,C02289,Mujer,Local,P0025,Vestido Corto,Vestidos,Vestido,T014,Koaj La Estación,Ibagué,Tolima,KOAJ,2,142000.0,0.05,Tarjeta Débito,Tienda Física,Día De La Madre,Xxl
V000263,3,2024-01-19,C00637,Hombre,Local,P0013,Bolso,Accesorios,Accesorio,T014,Koaj La Estación,Ibagué,Tolima,KOAJ,2,59000.0,0.0,Efectivo,Tienda Física,Temporada Regular,Xxl
V001687,1,2025-07-27,C00397,Hombre,Local,P0002,Set Deportivo,Deportivo,Conjunto,T004,Koaj Unicentro,Armenia,Quindío,KOAJ,1,155000.0,0.3,Efectivo,Online,Temporada Regular,S
V000470,1,2025-08-31,C00382,Hombre,Local,P0020,Camiseta Estampada,Camisetas,Camiseta,T035,Koaj Mayorca,Medellín,Antioquia,KOAJ,1,73000.0,0.0,Tarjeta Débito,Tienda Física,Vacaciones,L
V002360,2,2025-01-16,C01925,Hombre,Local,P0002,Set Deportivo,Deportivo,Conjunto,T010,Koaj Terraplaza,Popayán,Cauca,KOAJ,1,153000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada Regular,L
V000259,2,2025-08-08,C00253,Mujer,Local,P0012,Blusa,Blusas,Blusa,T009,Koaj Buenavista,Montería,Córdoba,KOAJ,1,107000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada De Diciembre,Xl
V001406,1,2024-01-03,C00253,Hombre,Local,P0010,Short,Shorts,Short,T037,Koaj Fundadores,Manizales,Caldas,KOAJ,1,99000.0,0.3,Tarjeta Crédito,Online,Temporada Regular,32
V000663,2,2024-03-04,C02008,Hombre,Local,P0016,Pantalón Cargo,Pantalones,Pantalón,T003,Koaj Ocean Mall,Santa Marta,Magdalena,KOAJ,2,136000.0,0.0,Transferencia,Online,Vacaciones,30
V001128,1,2024-06-19,C02467,Mujer,Local,P0003,Jean Mom,Jeans,Pantalón,T004,Koaj Unicentro,Armenia,Quindío,KOAJ,2,172000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada De Diciembre,30
V003171,2,2024-05-25,C01539,Hombre,Turista,P0015,Jean Straight,Jeans,Pantalón,T042,Koaj Guatapurí,Valledupar,Cesar,KOAJ,3,179000.0,0.0,Efectivo,Tienda Física,Temporada Regular,40
V002051,1,2024-05-19,C01778,Mujer,Turista,P0015,Jean Straight,Jeans,Pantalón,T009,Koaj Buenavista,Montería,Córdoba,KOAJ,1,169000.0,0.0,Tarjeta Débito,Tienda Física,Temporada Regular,32
V003188,1,2025-12-27,C02595,Hombre,Local,P0009,Camisa Casual,Camisas,Camisa,T003,Koaj Ocean Mall,Santa Marta,Magdalena,KOAJ,1,124000.0,0.0,Tarjeta Débito,Tienda Física,Día De La Madre,L
V002832,1,2024-08-13,C02213,Mujer,Local,P0008,Chaqueta Bomber,Chaquetas,Chaqueta,T004,Koaj Unicentro,Armenia,Quindío,KOAJ,1,222000.0,0.15,Tarjeta Crédito,Tienda Física,Black Friday,M
V001418,1,2024-01-07,C00326,Hombre,Local,P0008,Chaqueta Bomber,Chaquetas,Chaqueta,T006,Koaj Único,Pasto,Nariño,KOAJ,1,226000.0,0.0,Efectivo,Tienda Física,Temporada Regular,S
V000533,1,2025-04-02,C00438,Mujer,Local,P0003,Jean Mom,Jeans,Pantalón,T017,Koaj Titán Plaza,Bogotá,Bogotá D.C.,KOAJ,1,177000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada Regular,36
V001594,1,2024-12-05,C00571,Mujer,Local,P0022,Tenis Casuales,Calzado,Calzado,T012,Koaj Chipichape,Cali,Valle Del Cauca,KOAJ,4,204000.0,0.0,Tarjeta Crédito,Tienda Física,Black Friday,Xl
V000879,2,2023-05-25,C02109,Mujer,Local,P0006,Cinturón,Accesorios,Accesorio,T011,Koaj Santa Fe,Medellín,Antioquia,KOAJ,2,55000.0,0.1,Tarjeta Crédito,Online,Temporada Regular,Xs
V001467,3,2024-10-27,C01204,Hombre,Local,P0024,Chaqueta Denim,Chaquetas,Chaqueta,T035,Koaj Mayorca,Medellín,Antioquia,KOAJ,1,216000.0,0.1,Transferencia,Tienda Física,Vacaciones,Xl
V003745,1,2025-03-09,C00066,Mujer,Local,P0014,Jogger,Pantalones,Pantalón,T002,Koaj Multicentro,Ibagué,Tolima,KOAJ,1,144000.0,0.1,Tarjeta Crédito,Tienda Física,Temporada Regular,34
V003240,2,2024-07-03,C00287,Hombre,Local,P0025,Vestido Corto,Vestidos,Vestido,T013,Koaj Caracolí,Bucaramanga,Santander,KOAJ,3,145000.0,0.05,Tarjeta Crédito,Tienda Física,Regreso A Clases,Xs
V000754,1,2023-05-04,C00723,Hombre,Turista,P0011,Buzo Básico,Buzos,Buzo,T035,Koaj Mayorca,Medellín,Antioquia,KOAJ,2,132000.0,0.0,Tarjeta Débito,Tienda Física,Temporada Regular,M
V003332,1,2025-09-10,C02111,Mujer,Local,P0003,Jean Mom,Jeans,Pantalón,T036,Koaj Caribe Plaza,Cartagena,Bolívar,KOAJ,1,169000.0,0.0,Tarjeta Débito,Tienda Física,Temporada Regular,40
V000666,2,2025-03-18,C01186,Mujer,Local,P0022,Tenis Casuales,Calzado,Calzado,T027,Koaj Los Molinos,Medellín,Antioquia,KOAJ,1,198000.0,0.0,Tarjeta Crédito,Tienda Física,Regreso A Clases,M
V002874,1,2025-06-27,C01657,Mujer,Local,P0012,Blusa,Blusas,Blusa,T009,Koaj Buenavista,Montería,Córdoba,KOAJ,3,105000.0,0.4,Tarjeta Débito,Tienda Física,Temporada Regular,L
V003680,1,2023-12-24,C01279,Mujer,Local,P0002,Set Deportivo,Deportivo,Conjunto,T004,Koaj Unicentro,Armenia,Quindío,KOAJ,2,153000.0,0.1,Tarjeta Débito,Tienda Física,Temporada Regular,Xs
V000457,1,2024-06-14,C01222,Mujer,Turista,P0010,Short,Shorts,Short,T015,Koaj Wajira,Riohacha,La Guajira,KOAJ,1,98000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada Regular,38
V000066,1,2023-08-08,C00788,Mujer,Local,P0014,Jogger,Pantalones,Pantalón,T021,Koaj Mallplaza,Manizales,Caldas,KOAJ,4,134000.0,0.0,Efectivo,Tienda Física,Temporada Regular,38
V000788,1,2025-04-28,C02569,Mujer,Local,P0015,Jean Straight,Jeans,Pantalón,T016,Koaj Guacarí,Sincelejo,Sucre,KOAJ,1,180000.0,0.2,Tarjeta Crédito,Tienda Física,Temporada Regular,40
V003260,1,2025-03-03,C02507,Hombre,Local,P0008,Chaqueta Bomber,Chaquetas,Chaqueta,T018,Koaj Mall Plaza,Cartagena,Bolívar,KOAJ,3,205000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada Regular,M
V001976,2,2025-04-28,C01257,Mujer,Local,P0024,Chaqueta Denim,Chaquetas,Chaqueta,T004,Koaj Unicentro,Armenia,Quindío,KOAJ,2,225000.0,0.0,Tarjeta Crédito,Online,Regreso A Clases,Xs
V001756,2,2023-02-25,C00380,Mujer,Local,P0012,Blusa,Blusas,Blusa,T043,Koaj Victoria,Pereira,Risaralda,KOAJ,4,106000.0,0.0,Tarjeta Crédito,Online,Día Del Padre,L
V000007,1,2023-06-28,C00689,Mujer,Local,P0003,Jean Mom,Jeans,Pantalón,T041,Koaj Mayales,Valledupar,Cesar,KOAJ,2,177000.0,0.0,Efectivo,Tienda Física,Temporada Regular,30
V002029,2,2024-12-18,C02168,Hombre,Local,P0010,Short,Shorts,Short,T040,Koaj Andino,Bogotá,Bogotá D.C.,KOAJ,1,96000.0,0.0,Efectivo,Tienda Física,Día Del Padre,40
V003374,2,2025-03-25,C01826,Hombre,Local,P0008,Chaqueta Bomber,Chaquetas,Chaqueta,T014,Koaj La Estación,Ibagué,Tolima,KOAJ,1,223000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada Regular,L
V000510,1,2023-01-14,C02060,Mujer,Local,P0001,Pantalón Clásico,Pantalones,Pantalón,T015,Koaj Wajira,Riohacha,La Guajira,KOAJ,1,147000.0,0.0,Tarjeta Débito,Tienda Física,Vacaciones,28
V001999,1,2025-01-20,C01538,Hombre,Local,P0021,Polo,Camisas,Polo,T004,Koaj Unicentro,Armenia,Quindío,KOAJ,1,115000.0,0.0,Tarjeta Crédito,Online,Temporada Regular,S
V000505,1,2025-05-09,C02727,Hombre,Local,P0019,Top,Tops,Top,T019,Koaj Primavera Urbana,Villavicencio,Meta,KOAJ,1,72000.0,0.0,Tarjeta Débito,Tienda Física,Temporada Regular,Xl
V002070,2,2024-06-15,C01824,Mujer,Local,P0003,Jean Mom,Jeans,Pantalón,T011,Koaj Santa Fe,Medellín,Antioquia,KOAJ,1,182000.0,0.1,Tarjeta Débito,Online,Temporada De Diciembre,40
V003663,1,2025-09-30,C01137,Hombre,Local,P0018,Camiseta Básica,Camisetas,Camiseta,T016,Koaj Guacarí,Sincelejo,Sucre,KOAJ,1,73000.0,0.0,Tarjeta Débito,Tienda Física,Regreso A Clases,Xl
V000418,1,2025-02-26,C02456,Mujer,Local,P0002,Set Deportivo,Deportivo,Conjunto,T040,Koaj Andino,Bogotá,Bogotá D.C.,KOAJ,1,154000.0,0.0,Tarjeta Débito,Tienda Física,Temporada Regular,Xxl
V000529,2,2023-07-11,C02329,Mujer,Turista,P0002,Set Deportivo,Deportivo,Conjunto,T009,Koaj Buenavista,Montería,Córdoba,KOAJ,4,160000.0,0.0,Tarjeta Débito,Online,Temporada Regular,Xxl
V003479,1,2025-07-04,C00158,Hombre,Local,P0008,Chaqueta Bomber,Chaquetas,Chaqueta,T018,Koaj Mall Plaza,Cartagena,Bolívar,KOAJ,1,206000.0,0.3,Efectivo,Tienda Física,Temporada Regular,M
V001587,2,2025-07-11,C01323,Mujer,Local,P0017,Vestido Casual,Vestidos,Vestido,T018,Koaj Mall Plaza,Cartagena,Bolívar,KOAJ,3,147000.0,0.15,Tarjeta Débito,Tienda Física,Temporada Regular,Xxl
V001391,1,2025-01-15,C02062,Mujer,Local,P0026,Buzo Con Capucha,Buzos,Buzo,T036,Koaj Caribe Plaza,Cartagena,Bolívar,KOAJ,1,133000.0,0.1,Tarjeta Débito,Tienda Física,Black Friday,Xl
V002528,2,2023-08-26,C02525,Hombre,Local,P0003,Jean Mom,Jeans,Pantalón,T035,Koaj Mayorca,Medellín,Antioquia,KOAJ,2,176000.0,0.0,Efectivo,Tienda Física,Temporada Regular,30
V002481,1,2025-08-24,C00993,Mujer,Local,P0026,Buzo Con Capucha,Buzos,Buzo,T041,Koaj Mayales,Valledupar,Cesar,KOAJ,1,140000.0,0.2,Tarjeta Crédito,Tienda Física,Temporada De Diciembre,Xxl
V001748,1,2023-01-26,C01517,Hombre,Local,P0002,Set Deportivo,Deportivo,Conjunto,T010,Koaj Terraplaza,Popayán,Cauca,KOAJ,4,163000.0,0.0,Transferencia,Tienda Física,Regreso A Clases,S
V003196,2,2025-03-17,C00735,Hombre,Local,P0007,Gorra,Accesorios,Accesorio,T009,Koaj Buenavista,Montería,Córdoba,KOAJ,2,60000.0,0.0,Efectivo,Tienda Física,Regreso A Clases,Xxl
V000424,1,2025-08-21,C02475,Hombre,Local,P0002,Set Deportivo,Deportivo,Conjunto,T038,Koaj Plaza Central,Bogotá,Bogotá D.C.,KOAJ,1,160000.0,0.0,Efectivo,Tienda Física,Día De La Madre,Xs
V001158,2,2024-05-18,C00203,Mujer,Turista,P0013,Bolso,Accesorios,Accesorio,T016,Koaj Guacarí,Sincelejo,Sucre,KOAJ,1,56000.0,0.0,Transferencia,Tienda Física,Temporada Regular,Xxl
V003394,1,2023-05-13,C00568,Mujer,Local,P0021,Polo,Camisas,Polo,T029,Koaj Cosmocentro,Cali,Valle Del Cauca,KOAJ,1,126000.0,0.0,Tarjeta Crédito,Tienda Física,Black Friday,S
V003285,1,2025-03-04,C00013,Hombre,Local,P0008,Chaqueta Bomber,Chaquetas,Chaqueta,T023,Koaj Jardín Plaza,Cali,Valle Del Cauca,KOAJ,2,211000.0,0.0,Efectivo,Online,Vacaciones,Xs
V001559,2,2025-04-11,C00704,Mujer,Local,P0017,Vestido Casual,Vestidos,Vestido,T016,Koaj Guacarí,Sincelejo,Sucre,KOAJ,1,147000.0,0.0,Transferencia,Tienda Física,Vacaciones,Xs
V002245,1,2025-12-27,C01454,Mujer,Local,P0021,Polo,Camisas,Polo,T003,Koaj Ocean Mall,Santa Marta,Magdalena,KOAJ,1,118000.0,0.0,Tarjeta Débito,Tienda Física,Día De La Madre,Xs
V001466,1,2025-12-02,C00303,Hombre,Local,P0020,Camiseta Estampada,Camisetas,Camiseta,T037,Koaj Fundadores,Manizales,Caldas,KOAJ,1,80000.0,0.0,Efectivo,Tienda Física,Temporada Regular,Xl
V000196,2,2024-02-01,C00946,Hombre,Local,P0011,Buzo Básico,Buzos,Buzo,T004,Koaj Unicentro,Armenia,Quindío,KOAJ,1,132000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada Regular,Xxl
V003777,1,2023-06-28,C01076,Hombre,Local,P0005,Falda,Faldas,Falda,T017,Koaj Titán Plaza,Bogotá,Bogotá D.C.,KOAJ,2,114000.0,0.3,Efectivo,Tienda Física,Temporada Regular,Xs
V000415,1,2023-09-28,C01658,Mujer,Local,P0024,Chaqueta Denim,Chaquetas,Chaqueta,T019,Koaj Primavera Urbana,Villavicencio,Meta,KOAJ,1,224000.0,0.05,Tarjeta Débito,Tienda Física,Regreso A Clases,S
V003613,1,2023-01-09,C02443,Hombre,Local,P0026,Buzo Con Capucha,Buzos,Buzo,T002,Koaj Multicentro,Ibagué,Tolima,KOAJ,1,138000.0,0.15,Tarjeta Débito,Tienda Física,Regreso A Clases,Xs
V003059,2,2023-10-28,C02120,Mujer,Local,P0001,Pantalón Clásico,Pantalones,Pantalón,T004,Koaj Unicentro,Armenia,Quindío,KOAJ,1,142000.0,0.3,Efectivo,Tienda Física,Temporada Regular,36
V002813,1,2023-02-27,C01261,Mujer,Local,P0026,Buzo Con Capucha,Buzos,Buzo,T041,Koaj Mayales,Valledupar,Cesar,KOAJ,3,134000.0,0.1,Tarjeta Débito,Tienda Física,Temporada Regular,S
V000806,1,2025-09-27,C00353,Hombre,Local,P0017,Vestido Casual,Vestidos,Vestido,T026,Koaj Portal Del Quindío,Armenia,Quindío,KOAJ,1,145000.0,0.0,Efectivo,Tienda Física,Temporada Regular,Xxl
V000958,1,2024-01-12,C01480,Mujer,Turista,P0006,Cinturón,Accesorios,Accesorio,T026,Koaj Portal Del Quindío,Armenia,Quindío,KOAJ,1,55000.0,0.05,Tarjeta Débito,Tienda Física,Día Del Padre,M
V000935,1,2024-08-08,C01312,Hombre,Local,P0015,Jean Straight,Jeans,Pantalón,T030,Koaj Cacique,Bucaramanga,Santander,KOAJ,4,182000.0,0.0,Efectivo,Online,Temporada Regular,28
V001379,2,2023-02-16,C01635,Hombre,Local,P0018,Camiseta Básica,Camisetas,Camiseta,T009,Koaj Buenavista,Montería,Córdoba,KOAJ,1,74000.0,0.0,Tarjeta Crédito,Tienda Física,Día De La Madre,L
V001382,1,2023-05-26,C00575,Hombre,Local,P0003,Jean Mom,Jeans,Pantalón,T004,Koaj Unicentro,Armenia,Quindío,KOAJ,1,170000.0,0.0,Tarjeta Débito,Tienda Física,Temporada Regular,34
V001317,2,2025-11-10,C01996,Hombre,Turista,P0017,Vestido Casual,Vestidos,Vestido,T038,Koaj Plaza Central,Bogotá,Bogotá D.C.,KOAJ,2,144000.0,0.2,Tarjeta Crédito,Tienda Física,Temporada Regular,S
V000377,2,2025-04-17,C00212,Hombre,Local,P0003,Jean Mom,Jeans,Pantalón,T017,Koaj Titán Plaza,Bogotá,Bogotá D.C.,KOAJ,4,187000.0,0.1,Tarjeta Crédito,Tienda Física,Temporada Regular,30
V003554,1,2024-03-29,C02780,Hombre,Local,P0017,Vestido Casual,Vestidos,Vestido,T018,Koaj Mall Plaza,Cartagena,Bolívar,KOAJ,4,153000.0,0.2,Efectivo,Online,Día De La Madre,Xxl
V000840,1,2023-07-31,C02003,Hombre,Local,P0026,Buzo Con Capucha,Buzos,Buzo,T001,Koaj Premium Plaza,Medellín,Antioquia,KOAJ,2,138000.0,0.1,Tarjeta Débito,Tienda Física,Temporada Regular,Xxl
V003430,1,2024-05-22,C02221,Mujer,Turista,P0008,Chaqueta Bomber,Chaquetas,Chaqueta,T008,Koaj Gran Estación,Bogotá,Bogotá D.C.,KOAJ,1,211000.0,0.1,Tarjeta Crédito,Online,Temporada De Diciembre,L
V001897,1,2024-10-23,C00186,Mujer,Local,P0015,Jean Straight,Jeans,Pantalón,T020,Koaj Salitre Plaza,Bogotá,Bogotá D.C.,KOAJ,3,170000.0,0.0,Tarjeta Crédito,Tienda Física,Black Friday,40
V000159,1,2023-11-24,C02674,Mujer,Local,P0010,Short,Shorts,Short,T002,Koaj Multicentro,Ibagué,Tolima,KOAJ,3,99000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada Regular,38
V000697,1,2025-11-20,C00445,Hombre,Turista,P0025,Vestido Corto,Vestidos,Vestido,T030,Koaj Cacique,Bucaramanga,Santander,KOAJ,1,134000.0,0.0,Tarjeta Crédito,Online,Temporada Regular,Xs
V003075,1,2023-09-27,C00041,Hombre,Local,P0005,Falda,Faldas,Falda,T002,Koaj Multicentro,Ibagué,Tolima,KOAJ,1,116000.0,0.1,Tarjeta Débito,Tienda Física,Temporada Regular,S
V001064,2,2024-11-23,C01364,Hombre,Local,P0015,Jean Straight,Jeans,Pantalón,T032,Koaj La Castellana,Cartagena,Bolívar,KOAJ,2,178000.0,0.0,Tarjeta Crédito,Tienda Física,Black Friday,36
V003651,1,2023-07-27,C02516,Hombre,Local,P0008,Chaqueta Bomber,Chaquetas,Chaqueta,T005,Koaj Viva Sincelejo,Sincelejo,Sucre,KOAJ,2,215000.0,0.1,Tarjeta Débito,Tienda Física,Temporada Regular,Xl
V000574,1,2024-10-17,C01168,Hombre,Local,P0017,Vestido Casual,Vestidos,Vestido,T042,Koaj Guatapurí,Valledupar,Cesar,KOAJ,4,150000.0,0.0,Tarjeta Crédito,Online,Regreso A Clases,Xl
V002500,1,2025-01-13,C00998,Hombre,Local,P0010,Short,Shorts,Short,T004,Koaj Unicentro,Armenia,Quindío,KOAJ,1,93000.0,0.0,Efectivo,Tienda Física,Temporada De Diciembre,38
V003639,2,2023-02-26,C00584,Mujer,Local,P0005,Falda,Faldas,Falda,T009,Koaj Buenavista,Montería,Córdoba,KOAJ,3,113000.0,0.05,Transferencia,Tienda Física,Temporada Regular,M
V000277,1,2025-03-02,C00825,Mujer,Local,P0005,Falda,Faldas,Falda,T004,Koaj Unicentro,Armenia,Quindío,KOAJ,1,114000.0,0.05,Tarjeta Crédito,Tienda Física,Temporada Regular,M
V000046,3,2025-06-10,C02104,Mujer,Local,P0025,Vestido Corto,Vestidos,Vestido,T017,Koaj Titán Plaza,Bogotá,Bogotá D.C.,KOAJ,1,137000.0,0.0,Tarjeta Crédito,Online,Temporada Regular,L
V002149,3,2025-03-14,C00814,Hombre,Turista,P0005,Falda,Faldas,Falda,T009,Koaj Buenavista,Montería,Córdoba,KOAJ,1,108000.0,0.0,Tarjeta Débito,Tienda Física,Regreso A Clases,L
V000129,2,2025-05-04,C00168,Mujer,Turista,P0002,Set Deportivo,Deportivo,Conjunto,T030,Koaj Cacique,Bucaramanga,Santander,KOAJ,3,163000.0,0.1,Tarjeta Débito,Tienda Física,Black Friday,L
V002221,1,2024-03-28,C00208,Mujer,Local,P0008,Chaqueta Bomber,Chaquetas,Chaqueta,T026,Koaj Portal Del Quindío,Armenia,Quindío,KOAJ,1,211000.0,0.1,Tarjeta Crédito,Tienda Física,Temporada Regular,M
V000434,1,2024-09-13,C00372,Hombre,Local,P0007,Gorra,Accesorios,Accesorio,T017,Koaj Titán Plaza,Bogotá,Bogotá D.C.,KOAJ,2,60000.0,0.3,Tarjeta Débito,Tienda Física,Temporada Regular,Xxl
V000756,2,2023-06-05,C02583,Hombre,Turista,P0015,Jean Straight,Jeans,Pantalón,T003,Koaj Ocean Mall,Santa Marta,Magdalena,KOAJ,1,175000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada Regular,40
V002113,1,2023-10-06,C01469,Hombre,Local,P0009,Camisa Casual,Camisas,Camisa,T026,Koaj Portal Del Quindío,Armenia,Quindío,KOAJ,4,124000.0,0.0,Tarjeta Débito,Tienda Física,Temporada Regular,M
V003712,1,2025-09-26,C02685,Hombre,Local,P0016,Pantalón Cargo,Pantalones,Pantalón,T029,Koaj Cosmocentro,Cali,Valle Del Cauca,KOAJ,1,144000.0,0.0,Tarjeta Crédito,Online,Temporada Regular,38
V001510,1,2025-01-22,C00191,Mujer,Turista,P0003,Jean Mom,Jeans,Pantalón,T009,Koaj Buenavista,Montería,Córdoba,KOAJ,1,176000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada Regular,34
V001673,1,2024-01-23,C00153,Mujer,Local,P0007,Gorra,Accesorios,Accesorio,T007,Koaj San Pedro Plaza,Neiva,Huila,KOAJ,1,59000.0,0.2,Tarjeta Crédito,Tienda Física,Temporada Regular,Xxl
V001973,1,2025-09-25,C01341,Hombre,Local,P0023,Camiseta Oversize,Camisetas,Camiseta,T031,Koaj Campanario,Popayán,Cauca,KOAJ,1,76000.0,0.0,Transferencia,Tienda Física,Día Del Padre,Xxl
V002568,1,2024-10-29,C01404,Mujer,Local,P0023,Camiseta Oversize,Camisetas,Camiseta,T004,Koaj Unicentro,Armenia,Quindío,KOAJ,2,80000.0,0.0,Efectivo,Tienda Física,Temporada Regular,Xs
V002810,2,2023-05-30,C01218,Mujer,Turista,P0021,Polo,Camisas,Polo,T034,Koaj Viva Barranquilla,Barranquilla,Atlántico,KOAJ,3,117000.0,0.4,Tarjeta Débito,Tienda Física,Temporada Regular,Xs
V001177,1,2025-11-05,C02025,Hombre,Local,P0025,Vestido Corto,Vestidos,Vestido,T012,Koaj Chipichape,Cali,Valle Del Cauca,KOAJ,1,145000.0,0.05,Tarjeta Débito,Tienda Física,Temporada Regular,L
V001158,3,2024-05-18,C00203,Mujer,Turista,P0017,Vestido Casual,Vestidos,Vestido,T016,Koaj Guacarí,Sincelejo,Sucre,KOAJ,2,152000.0,0.0,Transferencia,Tienda Física,Temporada Regular,Xs
V000442,2,2024-05-03,C01515,Mujer,Local,P0010,Short,Shorts,Short,T037,Koaj Fundadores,Manizales,Caldas,KOAJ,1,92000.0,0.0,Transferencia,Tienda Física,Temporada Regular,32
V000455,1,2024-06-19,C01668,Hombre,Local,P0013,Bolso,Accesorios,Accesorio,T040,Koaj Andino,Bogotá,Bogotá D.C.,KOAJ,1,57000.0,0.3,Tarjeta Crédito,Tienda Física,Temporada Regular,Xxl
V002312,1,2025-08-14,C00009,Mujer,Local,P0001,Pantalón Clásico,Pantalones,Pantalón,T029,Koaj Cosmocentro,Cali,Valle Del Cauca,KOAJ,1,146000.0,0.0,Tarjeta Crédito,Tienda Física,Día De La Madre,40
V000943,1,2025-02-10,C02166,Mujer,Turista,P0018,Camiseta Básica,Camisetas,Camiseta,T032,Koaj La Castellana,Cartagena,Bolívar,KOAJ,2,72000.0,0.0,Tarjeta Débito,Tienda Física,Día De La Madre,Xl
V003113,1,2023-06-08,C00091,Hombre,Local,P0009,Camisa Casual,Camisas,Camisa,T025,Koaj El Tesoro,Medellín,Antioquia,KOAJ,1,123000.0,0.0,Tarjeta Débito,Tienda Física,Temporada Regular,Xxl
V000280,1,2023-02-04,C00334,Mujer,Local,P0017,Vestido Casual,Vestidos,Vestido,T018,Koaj Mall Plaza,Cartagena,Bolívar,KOAJ,2,148000.0,0.0,Transferencia,Tienda Física,Temporada Regular,L
V000306,1,2023-02-08,C01464,Sin dato,Turista,P0024,Chaqueta Denim,Chaquetas,Chaqueta,T015,Koaj Wajira,Riohacha,La Guajira,KOAJ,4,209000.0,0.15,Tarjeta Débito,Online,Temporada Regular,Xs
V001844,1,2023-12-25,C01360,Hombre,Local,P0019,Top,Tops,Top,T021,Koaj Mallplaza,Manizales,Caldas,KOAJ,1,69000.0,0.1,Efectivo,Tienda Física,Vacaciones,Xs
V002856,2,2023-12-15,C00768,Mujer,Turista,P0016,Pantalón Cargo,Pantalones,Pantalón,T013,Koaj Caracolí,Bucaramanga,Santander,KOAJ,4,143000.0,0.0,Transferencia,Online,Regreso A Clases,30
V002896,1,2024-11-06,C01794,Mujer,Local,P0023,Camiseta Oversize,Camisetas,Camiseta,T012,Koaj Chipichape,Cali,Valle Del Cauca,KOAJ,1,81000.0,0.4,Tarjeta Débito,Tienda Física,Temporada Regular,Xxl
